trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1241,False,"{'a': 0.3, 'e': 0.8247962844387762}",35,10,-121.4652325357207,"{0: 16, 1: 2, 2: 5, 3: 0, 4: 2}",1
1242,False,"{'a': 0.3, 'e': 0.8238503381988286}",20,9,-9.394024999248254,"{0: 9, 1: 0, 2: 2, 3: 0, 4: 0}",1
1243,False,"{'a': 0.3, 'e': 0.82290406810857}",30,10,-115.85343585358078,"{0: 13, 1: 0, 2: 5, 3: 0, 4: 2}",1
1244,False,"{'a': 0.3, 'e': 0.8219574751142698}",25,0,-64.94812501233449,"{0: 17, 1: 1, 2: 6, 3: 1, 4: 0}",0
1245,False,"{'a': 0.3, 'e': 0.8210105601625217}",20,0,-44.67994079218664,"{0: 14, 1: 2, 2: 3, 3: 1, 4: 0}",0
1246,False,"{'a': 0.3, 'e': 0.8200633242002399}",20,0,-133.72904045942778,"{0: 11, 1: 1, 2: 6, 3: 0, 4: 2}",0
1247,False,"{'a': 0.3, 'e': 0.8191157681746608}",20,7,-9.905327319273766,"{0: 10, 1: 1, 2: 2, 3: 0, 4: 0}",1
1248,False,"{'a': 0.3, 'e': 0.8181678930333398}",30,0,-245.73217213880997,"{0: 15, 1: 2, 2: 9, 3: 0, 4: 4}",0
1249,False,"{'a': 0.3, 'e': 0.8172196997241528}",25,0,-34.69773786852019,"{0: 20, 1: 0, 2: 4, 3: 1, 4: 0}",0
1250,False,"{'a': 0.3, 'e': 0.8162711891952921}",25,0,-60.226458638211476,"{0: 18, 1: 3, 2: 3, 3: 0, 4: 1}",0
1251,False,"{'a': 0.3, 'e': 0.8153223623952687}",30,0,-102.69593891023376,"{0: 22, 1: 2, 2: 4, 3: 0, 4: 2}",0
1252,False,"{'a': 0.3, 'e': 0.814373220272909}",25,0,-75.82650992813602,"{0: 17, 1: 3, 2: 4, 3: 0, 4: 1}",0
1253,False,"{'a': 0.3, 'e': 0.8134237637773555}",25,0,-83.05625442999099,"{0: 18, 1: 0, 2: 6, 3: 0, 4: 1}",0
1254,False,"{'a': 0.3, 'e': 0.8124739938580641}",20,0,-19.140820150872496,"{0: 16, 1: 0, 2: 4, 3: 0, 4: 0}",0
1255,False,"{'a': 0.3, 'e': 0.8115239114648052}",25,0,-79.8126822851452,"{0: 15, 1: 4, 2: 4, 3: 2, 4: 0}",0
1256,False,"{'a': 0.3, 'e': 0.8105735175476604}",25,0,-129.5628861378322,"{0: 16, 1: 3, 2: 3, 3: 1, 4: 2}",0
1257,False,"{'a': 0.3, 'e': 0.8096228130570242}",30,0,-152.19607989608295,"{0: 17, 1: 5, 2: 4, 3: 3, 4: 1}",0
1258,False,"{'a': 0.3, 'e': 0.8086717989436005}",30,0,-52.99377843628136,"{0: 21, 1: 4, 2: 4, 3: 1, 4: 0}",0
1259,False,"{'a': 0.3, 'e': 0.8077204761584039}",20,9,0.7312460742893598,"{0: 9, 1: 1, 2: 1, 3: 0, 4: 0}",1
1260,False,"{'a': 0.3, 'e': 0.8067688456527566}",20,0,-71.36545319876677,"{0: 12, 1: 1, 2: 6, 3: 1, 4: 0}",0
1261,False,"{'a': 0.3, 'e': 0.8058169083782893}",25,10,-72.3681884902056,"{0: 10, 1: 1, 2: 2, 3: 1, 4: 1}",1
1262,False,"{'a': 0.3, 'e': 0.8048646652869389}",25,0,-83.34922533223978,"{0: 15, 1: 1, 2: 8, 3: 1, 4: 0}",0
1263,False,"{'a': 0.3, 'e': 0.8039121173309489}",25,11,-27.44737400491222,"{0: 9, 1: 1, 2: 4, 3: 0, 4: 0}",1
1264,False,"{'a': 0.3, 'e': 0.8029592654628668}",25,0,-128.267890105543,"{0: 15, 1: 3, 2: 3, 3: 3, 4: 1}",0
1265,False,"{'a': 0.3, 'e': 0.8020061106355445}",20,0,-41.93101015007075,"{0: 16, 1: 2, 2: 1, 3: 0, 4: 1}",0
1266,False,"{'a': 0.3, 'e': 0.8010526538021365}",30,0,-122.81743059619093,"{0: 20, 1: 5, 2: 2, 3: 1, 4: 2}",0
1267,False,"{'a': 0.3, 'e': 0.8000988959161002}",20,0,-104.55373166225311,"{0: 12, 1: 1, 2: 5, 3: 1, 4: 1}",0
1268,False,"{'a': 0.3, 'e': 0.7991448379311925}",30,12,-50.726409084147996,"{0: 13, 1: 3, 2: 1, 3: 0, 4: 1}",1
1269,False,"{'a': 0.3, 'e': 0.7981904808014721}",20,0,-55.17757213474845,"{0: 15, 1: 0, 2: 3, 3: 2, 4: 0}",0
1270,False,"{'a': 0.3, 'e': 0.7972358254812957}",25,0,-107.7464175178063,"{0: 14, 1: 3, 2: 7, 3: 0, 4: 1}",0
1271,False,"{'a': 0.3, 'e': 0.7962808729253188}",20,0,-40.062410673627106,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 1}",0
1272,False,"{'a': 0.3, 'e': 0.7953256240884933}",25,0,-124.04464470437499,"{0: 17, 1: 1, 2: 5, 3: 0, 4: 2}",0
1273,False,"{'a': 0.3, 'e': 0.7943700799260686}",20,2,-84.724506819122,"{0: 11, 1: 0, 2: 6, 3: 0, 4: 1}",1
1274,False,"{'a': 0.3, 'e': 0.7934142413935883}",30,0,-89.25622529844279,"{0: 19, 1: 1, 2: 9, 3: 1, 4: 0}",0
1275,False,"{'a': 0.3, 'e': 0.7924581094468912}",20,0,-76.45844495787176,"{0: 13, 1: 2, 2: 2, 3: 3, 4: 0}",0
1276,False,"{'a': 0.3, 'e': 0.7915016850421088}",25,0,-177.6675687232141,"{0: 13, 1: 2, 2: 6, 3: 2, 4: 2}",0
1277,False,"{'a': 0.3, 'e': 0.790544969135666}",20,0,-91.6091742521143,"{0: 11, 1: 3, 2: 5, 3: 0, 4: 1}",0
1278,False,"{'a': 0.3, 'e': 0.7895879626842779}",20,0,-52.36484929282158,"{0: 11, 1: 5, 2: 4, 3: 0, 4: 0}",0
1279,False,"{'a': 0.3, 'e': 0.7886306666449516}",20,0,-34.18259301721491,"{0: 15, 1: 2, 2: 2, 3: 1, 4: 0}",0
1280,False,"{'a': 0.3, 'e': 0.7876730819749824}",25,0,-58.70859825718339,"{0: 19, 1: 1, 2: 4, 3: 0, 4: 1}",0
1281,False,"{'a': 0.3, 'e': 0.7867152096319555}",25,0,-42.96258160065089,"{0: 19, 1: 0, 2: 5, 3: 1, 4: 0}",0
1282,False,"{'a': 0.3, 'e': 0.7857570505737428}",25,15,-41.579533121372194,"{0: 7, 1: 1, 2: 1, 3: 0, 4: 1}",1
1283,False,"{'a': 0.3, 'e': 0.7847986057585031}",25,0,-51.960035976808996,"{0: 19, 1: 2, 2: 2, 3: 2, 4: 0}",0
1284,False,"{'a': 0.3, 'e': 0.7838398761446816}",20,0,-79.77758658074964,"{0: 10, 1: 1, 2: 9, 3: 0, 4: 0}",0
1285,False,"{'a': 0.3, 'e': 0.7828808626910075}",25,6,-54.87159522226181,"{0: 14, 1: 3, 2: 0, 3: 1, 4: 1}",1
1286,False,"{'a': 0.3, 'e': 0.7819215663564945}",25,0,-37.649611304339416,"{0: 20, 1: 3, 2: 1, 3: 0, 4: 1}",0
1287,False,"{'a': 0.3, 'e': 0.7809619881004383}",20,0,-76.1600219868611,"{0: 14, 1: 2, 2: 2, 3: 1, 4: 1}",0
1288,False,"{'a': 0.3, 'e': 0.7800021288824176}",20,0,-85.92841489420204,"{0: 13, 1: 2, 2: 3, 3: 1, 4: 1}",0
1289,False,"{'a': 0.3, 'e': 0.7790419896622912}",25,0,-32.22519367885053,"{0: 20, 1: 1, 2: 3, 3: 1, 4: 0}",0
1290,False,"{'a': 0.3, 'e': 0.7780815714001986}",25,0,-136.11319213197888,"{0: 20, 1: 1, 2: 0, 3: 0, 4: 4}",0
1291,False,"{'a': 0.3, 'e': 0.7771208750565576}",25,0,-104.26414583862518,"{0: 12, 1: 3, 2: 10, 3: 0, 4: 0}",0
1292,False,"{'a': 0.3, 'e': 0.7761599015920648}",20,0,-138.60623802957588,"{0: 11, 1: 1, 2: 5, 3: 1, 4: 2}",0
1293,False,"{'a': 0.3, 'e': 0.7751986519676932}",25,0,-63.46446716146268,"{0: 20, 1: 1, 2: 2, 3: 1, 4: 1}",0
1294,False,"{'a': 0.3, 'e': 0.7742371271446928}",25,0,-32.37835942929041,"{0: 17, 1: 5, 2: 3, 3: 0, 4: 0}",0
1295,False,"{'a': 0.3, 'e': 0.773275328084588}",20,0,-39.53252864867582,"{0: 15, 1: 0, 2: 4, 3: 1, 4: 0}",0
1296,False,"{'a': 0.3, 'e': 0.772313255749178}",25,12,-7.0675332384675595,"{0: 10, 1: 1, 2: 2, 3: 0, 4: 0}",1
1297,False,"{'a': 0.3, 'e': 0.7713509111005348}",20,7,-59.89146917580048,"{0: 9, 1: 1, 2: 1, 3: 1, 4: 1}",1
1298,False,"{'a': 0.3, 'e': 0.7703882951010032}",25,0,-158.3258251265574,"{0: 15, 1: 2, 2: 5, 3: 0, 4: 3}",0
1299,False,"{'a': 0.3, 'e': 0.7694254087131989}",30,9,-17.490276011923893,"{0: 15, 1: 4, 2: 2, 3: 0, 4: 0}",1
1300,False,"{'a': 0.3, 'e': 0.7684622529000085}",20,0,-77.94653983208805,"{0: 13, 1: 1, 2: 5, 3: 0, 4: 1}",0
1301,False,"{'a': 0.3, 'e': 0.7674988286245874}",20,0,-47.678699388417925,"{0: 13, 1: 1, 2: 6, 3: 0, 4: 0}",0
1302,False,"{'a': 0.3, 'e': 0.7665351368503601}",20,10,1.1714773896026558,"{0: 8, 1: 2, 2: 0, 3: 0, 4: 0}",1
1303,False,"{'a': 0.3, 'e': 0.765571178541018}",20,5,-22.92259084485866,"{0: 10, 1: 2, 2: 3, 3: 0, 4: 0}",1
1304,False,"{'a': 0.3, 'e': 0.7646069546605198}",30,0,-179.0669368077107,"{0: 15, 1: 4, 2: 8, 3: 1, 4: 2}",0
1305,False,"{'a': 0.3, 'e': 0.7636424661730887}",25,0,-31.005195679008143,"{0: 21, 1: 3, 2: 0, 3: 0, 4: 1}",0
1306,False,"{'a': 0.3, 'e': 0.7626777140432135}",20,0,-111.67278453537511,"{0: 12, 1: 3, 2: 3, 3: 0, 4: 2}",1
1307,False,"{'a': 0.3, 'e': 0.7617126992356461}",20,0,-176.26466548772737,"{0: 11, 1: 1, 2: 3, 3: 2, 4: 3}",0
1308,False,"{'a': 0.3, 'e': 0.7607474227154014}",25,0,-121.19126722179973,"{0: 16, 1: 2, 2: 5, 3: 0, 4: 2}",0
1309,False,"{'a': 0.3, 'e': 0.7597818854477556}",20,0,-46.066319227391766,"{0: 15, 1: 3, 2: 1, 3: 0, 4: 1}",0
1310,False,"{'a': 0.3, 'e': 0.7588160883982461}",25,0,-58.52242437793319,"{0: 18, 1: 4, 2: 2, 3: 0, 4: 1}",0
1311,False,"{'a': 0.3, 'e': 0.7578500325326696}",20,0,-101.89738665203049,"{0: 12, 1: 0, 2: 6, 3: 1, 4: 1}",0
1312,False,"{'a': 0.3, 'e': 0.7568837188170823}",25,0,-130.64741589474488,"{0: 13, 1: 3, 2: 7, 3: 1, 4: 1}",0
1313,False,"{'a': 0.3, 'e': 0.7559171482177973}",20,0,-94.91563000994996,"{0: 13, 1: 0, 2: 5, 3: 1, 4: 1}",0
1314,False,"{'a': 0.3, 'e': 0.7549503217013858}",20,0,-72.11159815221777,"{0: 16, 1: 0, 2: 1, 3: 2, 4: 1}",0
1315,False,"{'a': 0.3, 'e': 0.7539832402346733}",20,0,-56.588193331114574,"{0: 14, 1: 1, 2: 3, 3: 2, 4: 0}",0
1316,False,"{'a': 0.3, 'e': 0.7530159047847422}",20,6,-47.43786258879591,"{0: 10, 1: 1, 2: 0, 3: 3, 4: 0}",1
1317,False,"{'a': 0.3, 'e': 0.7520483163189271}",25,0,-60.4273200171463,"{0: 19, 1: 2, 2: 3, 3: 0, 4: 1}",0
