trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",20,0,-153.99034704135286,"{0: 11, 1: 3, 2: 3, 3: 0, 4: 3}",0
2,False,"{'a': 0.5, 'e': 1.0}",25,3,-116.14427375931369,"{0: 13, 1: 3, 2: 4, 3: 0, 4: 2}",1
3,False,"{'a': 0.5, 'e': 1.0}",20,0,-115.13531476776976,"{0: 10, 1: 4, 2: 3, 3: 2, 4: 1}",0
4,False,"{'a': 0.5, 'e': 1.0}",20,0,-55.45843424006635,"{0: 15, 1: 1, 2: 1, 3: 3, 4: 0}",0
5,False,"{'a': 0.5, 'e': 1.0}",35,0,-174.6628274589018,"{0: 22, 1: 3, 2: 6, 3: 2, 4: 2}",0
